,Country_name,CO2_emissions_2016_tons,latitude,longitude
1,Afghanistan,9900004,34.5253,69.1783
2,Albania,5208319,41.3289,19.8178
3,Algeria,156220560,36.7539,3.0589
4,Angola,30566933,-8.8383,13.2344
5,Anguilla,30262,18.2167,-63.05
6,Antigua and Barbuda,438763,17.1167,-61.85
7,Argentina,200708270,-34.5997,-58.3819
8,Armenia,4597845,40.1814,44.5144
9,Aruba,286871,12.5186,-70.0358
10,Australia,414988700,-33.8678,151.21
11,Austria,73764112,48.2083,16.3725
12,Azerbaijan,33614235,40.3667,49.8352
13,Bahamas,4404247,25.0781,-77.3386
14,Bahrain,24458384,26.225,50.5775
15,Bangladesh,74476230,23.7639,90.3889
16,Barbados,1541447,13.0975,-59.6167
17,Belarus,62655669,53.9,27.5667
18,Belgium,94722813,50.8467,4.3525
19,Belize,1114105,17.4986,-88.1886
20,Benin,6563709,17.4986,-88.1886
21,Bermuda,639352,32.3817,-64.6781
22,Bhutan,1682100,27.4722,89.6361
23,Bolivia,19463728,-17.7892,-63.1975
24,Bosnia and Herzegovina,25674120,43.8564,18.4131
25,Botswana,6438429,-24.6581,25.9122
26,Brazil,462994920,-23.55,-46.6333
28,Brunei,7672127,4.8903,114.9422
29,Bulgaria,50872910,42.7,23.33
30,Burkina Faso,2352070,12.3686,-1.5275
31,Burundi,1093618,-3.3833,29.3667
32,Cabo Verde,99687,14.918,-23.509
33,Cambodia,6496958,11.5694,104.9211
34,Cameroon,9454331,4.05,9.7
36,Cayman Islands,406057,19.2866,-81.3744
37,Central African Republic,543229,4.3733,18.5628
38,Chad,1670941,12.11,15.05
39,Chile,81258525,-33.4372,-70.6506
40,China,10432751400,39.904,116.4075
41,Colombia,77667594,4.7111,-74.0722
42,Comoros,108422,-11.699,43.256
43,Congo,5212302,-4.2694,15.2714
44,Cook Islands,37354,-21.207,-159.771
45,Costa Rica,8328890,9.9325,-84.08
46,Côte d'Ivoire,10056492,5.3167,-4.0333
47,Croatia,19408194,45.8167,15.9833
48,Cuba,30389116,23.1367,-82.3589
49,Cyprus,6872427,35.1725,33.365
50,Czech Republic (Czechia),111825428,,
51,Denmark,38007645,,
52,Djibouti,1508851,,
53,Dominica,185767,,
54,Dominican Republic,23466740,,
55,DR Congo,6564773,,
56,Ecuador,40065690,,
57,Egypt,219377350,,
58,El Salvador,6853766,,
59,Equatorial Guinea,2156371,,
60,Eritrea,684140,,
61,Estonia,22402414,,
62,Eswatini,657572,,
63,Ethiopia,10438855,,
64,Faeroe Islands,1953,,
65,Falkland Islands,48568,,
66,Fiji,1703193,,
67,Finland,51183960,,
68,France,331533320,,
69,French Guiana,1473719,,
70,French Polynesia,1003249,,
71,Gabon,5694208,,
72,Gambia,254127,,
73,Georgia,8610414,,
74,Germany,775752190,,
75,Ghana,14469986,,
76,Gibraltar,572708,,
77,Greece,67840662,,
78,Greenland,1530,,
79,Grenada,554848,,
80,Guadeloupe,2478038,,
81,Guatemala,18539316,,
82,Guinea,2071798,,
83,Guinea-Bissau,318706,,
84,Guyana,3253057,,
85,Haiti,3086897,,
86,Honduras,9320279,,
87,Hong Kong,47066386,,
88,Hungary,51018899,,
89,Iceland,3923884,,
90,India,2533638100,,
91,Indonesia,530035650,,
92,Iran,642560030,,
93,Iraq,162646160,,
94,Ireland,39086565,,
95,Israel,65201588,,
96,Italy,358139550,,
97,Jamaica,8946575,,
98,Japan,1239592060,,
99,Jordan,22772370,,
100,Kazakhstan,231919540,,
101,Kenya,16334919,,
102,Kiribati,52818,,
103,Kuwait,101492225,,
104,Kyrgyzstan,6941784,,
105,Laos,4531276,,
106,Latvia,8157157,,
107,Lebanon,21863288,,
108,Lesotho,318438,,
109,Liberia,846658,,
110,Libya,52696075,,
111,Lithuania,13685264,,
112,Luxembourg,10144632,,
113,Macao,3106518,,
114,Madagascar,3026047,,
115,Malawi,1815598,,
116,Malaysia,266251542,,
117,Maldives,1233015,,
118,Mali,1606421,,
119,Malta,2257870,,
120,Martinique,2715477,,
121,Mauritania,2564345,,
122,Mauritius,3192307,,
123,Mexico,441412750,,
124,Moldova,8258774,,
125,Mongolia,18574260,,
126,Montenegro,16249039,,
127,Morocco,57694464,,
128,Mozambique,5859171,,
129,Myanmar,16701776,,
130,Namibia,3901830,,
131,Nepal,7833787,,
132,Netherlands,163419285,,
133,New Caledonia,2338717,,
134,New Zealand,33276202,,
135,Nicaragua,5325447,,
136,Niger,2088475,,
137,Nigeria,82634214,,
138,North Korea,58708734,,
139,North Macedonia,8896732,,
140,Norway,43456012,,
141,Oman,87835773,,
142,Pakistan,178013820,,
143,Palau,41732,,
144,Panama,11599764,,
145,Papua New Guinea,9086988,,
146,Paraguay,5998469,,
147,Peru,57692879,,
148,Philippines,126922662,,
149,Poland,296659670,,
150,Portugal,50142844,,
151,Puerto Rico,712758,,
152,Qatar,98990085,,
153,Réunion,1132331,,
154,Romania,78770824,,
155,Russia,1661899300,,
156,Rwanda,1403087,,
157,Saint Helena,13128,,
158,Saint Kitts & Nevis,203036,,
159,Saint Lucia,608182,,
160,Saint Pierre & Miquelon,8842,,
161,Samoa,169939,,
162,Sao Tome & Principe,56185,,
163,Saudi Arabia,517079407,,
164,Senegal,8247295,,
165,Serbia,41168059,,
166,Seychelles,519693,,
167,Sierra Leone,1272332,,
168,Singapore,48381759,,
169,Slovakia,36817242,,
170,Slovenia,14722601,,
171,Solomon Islands,341748,-9.4319,159.9556
172,Somalia,1268442,2.0392,45.3419
173,South Africa,390557850,-26.2044,28.0456
174,South Korea,604043830,,
175,South Sudan,4038496,4.85,31.6
176,Spain,251892320,40.4169,-3.7033
177,Sri Lanka,18454691,6.9344,79.8428
179,Sudan,13294106,15.5006,32.56
180,Suriname,2152933,5.8522,-55.2039
181,Sweden,44694415,59.3294,18.0686
182,Switzerland,39666930,47.3744,8.5411
183,Syria,38054696,36.2,37.16
184,Taiwan,276724868,25.0375,121.5625
185,Tajikistan,6049757,38.5367,68.78
186,Tanzania,9731560,-6.8161,39.2803
187,Thailand,271040160,13.7525,100.4942
188,Timor-Leste,495687,-8.5536,125.5783
189,Togo,2321546,6.1319,1.2228
190,Tonga,251375,-21.1333,-175.2
191,Trinidad and Tobago,34974263,10.5167,-61.4
192,Tunisia,29395965,36.8064,10.1817
